Metric,count,mean,std,min,25%,50%,75%,max
resnik_avg,388.0,0.8241,0.7075,0.0,0.421,0.6723,1.1449,7.3193
resnik_max,388.0,3.4514,2.5414,0.0,0.9353,2.8224,6.0261,10.0273
resnik_bma,388.0,1.8688,1.36,0.0,0.7015,1.5191,3.0155,7.3193
lin_avg,388.0,0.2411,0.1558,0.0,0.1331,0.22,0.3281,1.0
lin_max,388.0,0.9077,0.2526,0.0,1.0,1.0,1.0,1.0
lin_bma,388.0,0.5809,0.2623,0.0,0.3975,0.5928,0.7892,1.0
jiang-conrath_avg,388.0,0.2506,0.1525,0.0589,0.1444,0.2128,0.3269,1.0
jiang-conrath_max,388.0,0.8933,0.2761,0.0809,1.0,1.0,1.0,1.0
jiang-conrath_bma,388.0,0.5353,0.2625,0.0699,0.3484,0.4809,0.7455,1.0
simgic,388.0,0.2517,0.3322,0.0,0.0177,0.0582,0.4299,1.0
simui,388.0,0.3603,0.3111,0.0204,0.12,0.2,0.6087,1.0
