Embedding Model,Vector Operation,Threshold,Accuracy,Precision,Recall,F1 (class 0),F1 (class 1),F1 Average
rdf2vec_id1,CosSim,0.5000,0.9510,0.9588,0.9442,0.9506,0.9514,0.9510
rdf2vec_id7,CosSim,0.7000,0.9510,0.9495,0.9543,0.9501,0.9519,0.9510
rdf2vec_id3,CosSim,0.5000,0.9433,0.9397,0.9492,0.9421,0.9444,0.9433
rdf2vec_id4,CosSim,0.5500,0.9381,0.9727,0.9036,0.9394,0.9368,0.9381
rdf2vec_id2,CosSim,0.4500,0.9356,0.9388,0.9340,0.9347,0.9364,0.9356
rdf2vec_id6,CosSim,0.5000,0.9330,0.9385,0.9289,0.9323,0.9337,0.9330
rdf2vec_id5,CosSim,0.6000,0.9201,0.9611,0.8782,0.9223,0.9178,0.9200
ConvE,CosSim,0.4500,0.5464,0.5459,0.6345,0.4971,0.5869,0.5427
RotatE,CosSim,0.5500,0.5077,0.5195,0.4061,0.5506,0.4558,0.5025
DistMult,CosSim,0.5500,0.5129,0.5357,0.3046,0.5953,0.3883,0.4902
TransE,CosSim,0.8000,0.4330,0.2745,0.0711,0.5833,0.1129,0.3445
TransD,CosSim,0.0000,0.5052,0.5065,0.9949,0.0000,0.6712,0.3408
